key,en,ru
accessibility.add_favorite,Add to favorites,Add to favorites
accessibility.available_nostr,Available via Nostr,Available via Nostr
accessibility.back_to_main,Back to main chat,Back to main chat
accessibility.connected_mesh,Connected via mesh,Connected via mesh
accessibility.encryption_status,Encryption status: %@,Encryption status: %@
accessibility.location_channels,location channels,каналы местоположения
accessibility.open_unread_private_chat,Open unread private chat,Open unread private chat
accessibility.people_count,accessibility.people_count,accessibility.people_count
accessibility.people_count.few,%d people,%d человека
accessibility.people_count.many,%d people,%d человек
accessibility.people_count.one,%d person,%d человек
accessibility.people_count.other,%d people,%d человек
accessibility.private_chat_with,Private chat with %@,Private chat with %@
accessibility.remove_favorite,Remove from favorites,Remove from favorites
accessibility.send_message,Send message,Send message
accessibility.send_message_hint_empty,Enter a message to send,Enter a message to send
accessibility.send_message_hint_ready,Double tap to send,Double tap to send
accessibility.toggle_favorite_hint,Double tap to toggle favorite status,Double tap to toggle favorite status
accessibility.view_fingerprint_hint,Tap to view encryption fingerprint,Tap to view encryption fingerprint
action.screenshot.core,took a screenshot,сделал(а) скриншот
action.screenshot.self,you took a screenshot,вы сделали скриншот
actions.block,BLOCK,BLOCK
actions.copy_message,Copy message,Copy message
actions.hug,hug,hug
actions.mention,mention,mention
actions.private_message,private message,private message
actions.slap,slap,slap
actions.title,Actions,Actions
actions.unblock,Unblock,Unblock
alert.bluetooth.off_message,Bluetooth is turned off. Please turn on Bluetooth in Settings to use BitChat.,"Bluetooth выключен. Включите Bluetooth в настройках, чтобы использовать bitchat."
alert.bluetooth.unauthorized_message,BitChat needs Bluetooth permission to connect with nearby devices. Please enable Bluetooth access in Settings.,bitchat требует разрешения на Bluetooth для подключения к близким устройствам. Включите доступ в настройках.
alert.bluetooth.unsupported_message,This device does not support Bluetooth. BitChat requires Bluetooth to function.,Это устройство не поддерживает Bluetooth. Для работы bitchat требуется Bluetooth.
alert.bluetooth_required,Bluetooth Required,Bluetooth Required
appinfo.features.encryption.desc,private messages encrypted with noise protocol,private messages encrypted with noise protocol
appinfo.features.encryption.title,end-to-end encryption,end-to-end encryption
appinfo.features.extended_range.desc,"messages relay through peers, going the distance","messages relay through peers, going the distance"
appinfo.features.extended_range.title,extended range,extended range
appinfo.features.favorites.desc,get notified when your favorite people join,get notified when your favorite people join
appinfo.features.favorites.title,favorites,favorites
appinfo.features.geohash.desc,geohash channels to chat with people in nearby regions over decentralized anonymous relays,geohash channels to chat with people in nearby regions over decentralized anonymous relays
appinfo.features.geohash.title,local channels,local channels
appinfo.features.mentions.desc,use @nickname to notify specific people,use @nickname to notify specific people
appinfo.features.mentions.title,mentions,mentions
appinfo.features.offline.desc,works without internet using Bluetooth low energy,works without internet using Bluetooth low energy
appinfo.features.offline.title,offline communication,offline communication
appinfo.features.title,FEATURES,FEATURES
appinfo.howto.bullet.clear,• triple-tap chat to clear,• triple-tap chat to clear
appinfo.howto.bullet.commands,• type / for commands,• type / for commands
appinfo.howto.bullet.dm,• tap a peer's name to start a DM,• tap a peer's name to start a DM
appinfo.howto.bullet.mesh,• tap #mesh to change channels,• tap #mesh to change channels
appinfo.howto.bullet.nickname,• set your nickname by tapping it,• set your nickname by tapping it
appinfo.howto.bullet.sidebar,• tap people icon for sidebar,• tap people icon for sidebar
appinfo.howto.title,HOW TO USE,HOW TO USE
appinfo.privacy.ephemeral.desc,new peer ID generated regularly,new peer ID generated regularly
appinfo.privacy.ephemeral.title,ephemeral identity,ephemeral identity
appinfo.privacy.no_tracking.desc,"no servers, accounts, or data collection","no servers, accounts, or data collection"
appinfo.privacy.no_tracking.title,no tracking,no tracking
appinfo.privacy.panic.desc,triple-tap logo to instantly clear all data,triple-tap logo to instantly clear all data
appinfo.privacy.panic.title,panic mode,panic mode
appinfo.privacy.title,PRIVACY,PRIVACY
appinfo.tagline,sidegroupchat,sidegroupchat
appinfo.warning.message,private message security has not yet been fully audited. do not use for critical situations until this warning disappears.,private message security has not yet been fully audited. do not use for critical situations until this warning disappears.
appinfo.warning.title,WARNING,WARNING
channel.mesh,Mesh,Сеть
cmd.block.already,%@ is already blocked,%@ is already blocked
cmd.block.help,Block or list blocked peers. Usage: /block [nickname],Block or list blocked peers. Usage: /block [nickname]
cmd.block.list,blocked peers: %@ | geohash blocks: %@,blocked peers: %@ | geohash blocks: %@
cmd.block.not_found,cannot block %@: not found or unable to verify identity,cannot block %@: not found or unable to verify identity
cmd.block.success,blocked %@. you will no longer receive messages from them,заблокирован %@. вы больше не будете получать сообщения от этого пользователя
cmd.block.success_geohash,blocked %@ in geohash chats,blocked %@ in geohash chats
cmd.block.title,Block,Block
cmd.clear.help,Clear chat messages. Usage: /clear,Clear chat messages. Usage: /clear
cmd.clear.title,Clear,Clear
cmd.emote.not_found,cannot %@ %@: not found,cannot %@ %@: not found
cmd.emote.usage,usage: /%@ <nickname>,usage: /%@ <nickname>
cmd.error.invalid,Invalid command,Invalid command
cmd.error.not_found,'%@' not found,'%@' не найден
cmd.error.unknown_command,unknown command: %@,unknown command: %@
cmd.fav.added,added %@ to favorites,added %@ to favorites
cmd.fav.help,Add to favorites. Usage: /fav <nickname>,Add to favorites. Usage: /fav <nickname>
cmd.fav.removed,removed %@ from favorites,removed %@ from favorites
cmd.fav.title,Favorite,Favorite
cmd.fav.usage,usage: /%@ <nickname>,usage: /%@ <nickname>
cmd.help.help,Show this help. Usage: /help,Show this help. Usage: /help
